"number"	"Programme"	"Priority"	"Approved.Intervention.Rate"	"Grant.Award"	"total.actual.spend"	"Absorption.Capacity.2"	"Degree.Centrality"	"Eigenfactor"	"Betweenness.Centrality"	"Cohesive.Subgroup"	"LADC"	"ProjDC"	"BTC"	"EVC"	"Kcore"	"New.Type.Organisation"	"Type.Expenditure"	"Percentage.achieved"
"122"	122	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	50	52995	86322.58	16.06735541	19	0.044104398	0.012105295	2	9	191	0.008410047	0.013876805	25	"Voluntary Sector"	"Capital"	196.1538462
"123"	123	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	54546	89859.19	0	11	0.007706461	0.005091924	14	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	51.22222222
"124"	124	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.94994995	9980	12183.38	0	4	0.015622674	0.001851998	14	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	63.63636364
"125"	125	"H&I ESF"	"Priority 1: Increasing the Workforce"	44.59521919	137682.7	333087.38	98.26311085	20	0.000642193	0.008648386	4	1	45	0.001864676	0.001758975	19	"Voluntary Sector"	"Capital"	102.0460358
"126"	126	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	150000	3e+05	94.12311667	7	0.005659791	0.001419503	3	7	50	0.004009198	0.005356898	21	"Government Department/Agencies"	"Capital"	195.8024691
"127"	127	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	67200	8451.14	6.288050595	5	0.010121351	0.002247768	12	1	8	0.000192854	0.000889785	4	"Voluntary Sector"	"Capital"	19.23076923
"128"	128	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.8905171	118480	226852.81	80.36934479	5	0.0003176	0.001629802	1	2	10	0.000269059	0.000292897	6	"Voluntary Sector"	"Capital"	84.10041841
"129"	129	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	63500	82746.67	65.15485827	4	0.001462	0.000364805	14	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	37.75811209
"130"	130	"H&I ESF"	"Priority 1: Increasing the Workforce"	50.00000161	155023.45	170854.81	55.10611959	6	0.001565196	0.001871487	14	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	18.32797428
"131"	131	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.99988428	49690.77	73955.58	74.41563981	5	0.003880643	0.001589945	14	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	149.3181818
"132"	132	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.9900025	123856.17	220097.05	27.63576059	4	8.35e-05	0.000117004	1	2	10	6.49e-05	9.93e-05	8	"Economic and Social Development Body"	"Capital"	108.1081081
"133"	133	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.99999976	1031612.37	1815750.17	88.0054473	6	0.011458554	0.003515418	12	12	119	0.022037319	0.01403185	22	"Local Authority"	"Capital"	72.23880597
"134"	134	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	2176781.05	3944316.79	87.79392535	3	0.000721101	0.000627633	1	7	50	0.004009198	0.005356898	21	"Government Department/Agencies"	"Capital"	23.69565217
"135"	135	"H&I ESF"	"Priority 2: Investing in the Workforce"	50.00000121	206775.89	405492.14	98.05111945	5	0.000927698	0.001630676	1	8	46	0.008545444	0.008657027	26	"Further Education"	"Capital"	37.6119403
"136"	136	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	40827.5	81610.43	64.93426	12	0.007665839	0.004430513	3	4	52	0.002010033	0.011791088	20	"Further Education"	"Capital"	29.02439024
"137"	137	"H&I ESF"	"Priority 2: Investing in the Workforce"	40.2498642	37050	93111	57.22799571	9	0.003365151	0.003895702	4	12	119	0.022037319	0.01403185	22	"Local Authority"	"Capital"	141.025641
"138"	138	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	50	76444.07	92806.3	53.48652943	3	0.001364007	0.000144456	0	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	46.4028777
"139"	139	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	49.99888891	22500	42017.52	19.32421502	2	0.002877467	4.02e-05	6	7	77	0.00333252	0.022971035	36	"Further Education"	"Capital"	100
"140"	140	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	50	26886	53310.64	16.33498847	6	0.025862368	0.001496969	6	7	77	0.00333252	0.022971035	36	"Further Education"	"Capital"	118.2692308
"141"	141	"H&I ESF"	"Priority 2: Investing in the Workforce"	50.0003621	42115.61	90055.61	91.04261245	3	0.001314674	0.000686387	1	1	47	0.001638524	0.001711337	26	"Further Education"	"Capital"	27.9342723
"142"	142	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	49.9988617	21962	39696.09	30.70668184	1	0.001535287	0	6	7	77	0.00333252	0.022971035	36	"Further Education"	"Capital"	66.66666667
"143"	143	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	277539	550700.63	63.92652384	7	0.06268302	0.006004544	12	7	77	0.00333252	0.022971035	36	"Further Education"	"Capital"	56.17647059
"144"	144	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.9999008	60486.76	108729.42	62.66676344	3	0.000764534	9.03e-05	2	1	59	0.00398664	0.007948303	19	"Further Education"	"Capital"	137.8787879
"145"	145	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.99999734	93924.9	181443.12	94.30587659	5	0.025064599	0.003750572	12	8	46	0.008545444	0.008657027	26	"Further Education"	"Capital"	51.04166667
"146"	146	"H&I ESF"	"Priority 2: Investing in the Workforce"	70	7e+06	11523774.62	92.86472347	7	0.009236779	0.001449718	3	4	155	0.014086241	0.036456505	27	"Higher Education"	"Capital"	48.22540133
"147"	147	"H&I ESF"	"Priority 2: Investing in the Workforce"	68.70615247	32318	46675.23	68.67639937	19	0.005768236	0.006309855	3	3	43	0.000817052	0.003638643	18	"Government Department/Agencies"	"Capital"	2.309782609
"148"	148	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	50	23163	46325.86	6.201096576	2	0.001983982	3.27e-05	6	7	77	0.00333252	0.022971035	36	"Further Education"	"Capital"	140
"149"	149	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	69.29426562	214514.66	305551.37	36.86298937	8	0.025214171	0.003199563	6	7	77	0.00333252	0.022971035	36	"Further Education"	"Capital"	800
"150"	150	"H&I ESF"	"Priority 2: Investing in the Workforce"	70	273000	196379.31	50.35366923	3	0.010561226	0.000393507	5	1	374	0.090674587	0.148029941	29	"Government Department/Agencies"	"Capital"	43.75
"151"	151	"H&I ESF"	"Priority 1: Increasing the Workforce"	59.99922508	1904697.27	3064092.98	96.52095757	2	0.011881223	0.00052082	5	6	353	0.066805192	0.176729842	36	"Government Department/Agencies"	"Capital"	34.14918415
"152"	152	"H&I ESF"	"Priority 1: Increasing the Workforce"	37.2711858	49457	132661.25	79.12636497	8	0.017149204	0.002889709	2	4	52	0.002010033	0.011791088	20	"Further Education"	"Capital"	28.19672131
"153"	153	"H&I ESF"	"Priority 1: Increasing the Workforce"	69.0909475	65416	94681	100	2	0.011424078	0.000103314	12	7	77	0.00333252	0.022971035	36	"Further Education"	"Capital"	35.76923077
"154"	154	"LUPS ERDF"	"Priority 1: Research and Innovation"	32.09836415	355508	1107558	56.07734764	8	0.007819453	0.001231481	17	1	17	1.96e-05	0.00358728	14	"Economic and Social Development Body"	"Revenue"	210.1449275
"155"	155	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.4954465	436697	981442	81.89829761	38	0.012388168	0.013223009	11	1	56	0.000229815	0.005399073	37	"Economic and Social Development Body"	"Revenue"	137.9084967
"156"	156	"LUPS ERDF"	"Priority 1: Research and Innovation"	40.9775368	2403863.25	5866295.14	94.24178239	4	0.005452886	0.000693681	16	5	186	0.017899887	0.073467128	26	"Higher Education"	"Revenue"	144.3478261
"157"	157	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.99997938	1200374	2667499	73.59493106	11	0.0561794	0.002955436	32	2	131	0.007101372	0.06398987	24	"Higher Education"	"Revenue"	127.0089286
"158"	158	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.97965662	330990	735866	96.24172743	5	0.001017232	0.001608912	6	3	33	0.000395301	0.001279148	25	"Higher Education"	"Revenue"	138.5786802
"159"	159	"LUPS ERDF"	"Priority 1: Research and Innovation"	39.9999458	295196	737991	99.84054955	3	0.010780203	0.000261268	14	4	218	0.025747754	0.089400446	27	"Higher Education"	"Revenue"	193.9622642
"160"	160	"LUPS ERDF"	"Priority 1: Research and Innovation"	34.98961846	534035	1526267	89.17330061	9	0.03335635	0.005697978	14	1	8	1e-05	0.002847039	8	"Economic and Social Development Body"	"Revenue"	111.1111111
"161"	161	"LUPS ERDF"	"Priority 1: Research and Innovation"	40.90391123	705345	1787525	73.18290374	9	0.004603117	0.003035674	14	3	99	0.008432024	0.03263876	22	"Higher Education"	"Revenue"	NA
"162"	162	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.00127438	491950.99	1128183.05	91.14051128	14	0.035464779	0.00330235	24	7	109	0.006122982	0.0369968	23	"Higher Education"	"Revenue"	206.8965517
"163"	163	"LUPS ERDF"	"Priority 1: Research and Innovation"	39.14007134	500816	1279548	84.22309519	6	0.043710439	0.001725993	32	2	131	0.007101372	0.06398987	24	"Higher Education"	"Revenue"	279.5774648
"164"	164	"LUPS ERDF"	"Priority 1: Research and Innovation"	42.69753164	416571.67	975634.08	77.68716525	18	0.016656558	0.005726899	17	2	85	0.007384865	0.021230556	24	"Local Authority"	"Revenue"	78.4962406
"165"	165	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.99999695	5903474	13118832	92.9929467	18	0.088274814	0.00953075	32	3	512	0.13883647	0.428663494	29	"Government Department/Agencies"	"Revenue"	39.93064817
"166"	166	"LUPS ERDF"	"Priority 2: Enterprise Growth"	35.00005868	347426	980101.56	68.24457367	3	0.004996041	0.000164426	2	10	124	0.012833128	0.068285551	26	"Local Authority"	"Revenue"	239.8068124
"167"	167	"LUPS ERDF"	"Priority 2: Enterprise Growth"	40.00003272	244531	611254.63	93.24247416	9	0.013566768	0.003206482	12	7	109	0.006122982	0.0369968	23	"Higher Education"	"Revenue"	108.1766149
"168"	168	"LUPS ERDF"	"Priority 2: Enterprise Growth"	40.00000042	381025.94	952564.84	91.08053054	14	0.024874384	0.005551298	16	4	218	0.025747754	0.089400446	27	"Higher Education"	"Revenue"	141.163311
"169"	169	"LUPS ERDF"	"Priority 2: Enterprise Growth"	33.25629879	736516.91	2214170.21	84.28337218	9	0.055182261	0.010387287	18	9	226	0.039839478	0.041399109	29	"Voluntary Sector"	"Revenue"	117.8661088
"170"	170	"LUPS ERDF"	"Priority 2: Enterprise Growth"	30.9378442	67398.14	211085.73	17.02245328	8	0.013073842	0.002251889	7	1	124	0.008140632	0.03024229	27	"Economic and Social Development Body"	"Revenue"	100
"171"	171	"LUPS ERDF"	"Priority 2: Enterprise Growth"	37.49989611	270708	673808.12	93.33944507	2	0.004417523	1.58e-05	4	8	160	0.01456742	0.058300591	26	"Government Department/Agencies"	"Revenue"	64.74820144
"172"	172	"LUPS ERDF"	"Priority 2: Enterprise Growth"	34.99999	1049775	2481188.72	82.7239936	3	0.005032576	0.00067936	6	23	183	0.026901749	0.038315513	27	"Economic and Social Development Body"	"Revenue"	114.0986133
"173"	173	"LUPS ERDF"	"Priority 2: Enterprise Growth"	35.65265639	121444	340631.4	100.0001174	6	0.011341826	0.000721272	5	8	160	0.01456742	0.058300591	26	"Government Department/Agencies"	"Revenue"	103.4883721
"174"	174	"LUPS ERDF"	"Priority 2: Enterprise Growth"	40	752000	1880000	100	7	0.071145218	0.002150745	16	3	512	0.13883647	0.428663494	29	"Government Department/Agencies"	"Revenue"	53.0237581
"175"	175	"LUPS ERDF"	"Priority 2: Enterprise Growth"	39.8734395	449972	1066906.21	94.54192753	5	0.005152071	0.001146889	5	3	53	0.002638535	0.014735901	21	"Higher Education"	"Revenue"	67.77003484
"176"	176	"LUPS ERDF"	"Priority 2: Enterprise Growth"	34.99957409	254743	697719.23	77.90946024	4	0.004545713	0.000932841	2	4	104	0.00712184	0.020439319	32	"Local Authority"	"Revenue"	104.7101449
"177"	177	"LUPS ERDF"	"Priority 2: Enterprise Growth"	34.99998336	841338	1827634.77	58.21210039	10	0.014914243	0.002946026	7	23	183	0.026901749	0.038315513	27	"Economic and Social Development Body"	"Revenue"	112.7128483
"178"	178	"LUPS ERDF"	"Priority 2: Enterprise Growth"	38.36991755	232364	605495.95	90.94528302	9	0.003464082	0.002288313	6	1	38	0.000748409	0.018251058	27	"Economic and Social Development Body"	"Revenue"	115.5172414
"179"	179	"LUPS ERDF"	"Priority 3: Urban Regeneration"	36.88169238	1601644.71	4342655.14	86.92384586	12	0.078645182	0.0078616	14	10	124	0.012833128	0.068285551	26	"Local Authority"	"Revenue"	44.5335277
"180"	180	"LUPS ERDF"	"Priority 3: Urban Regeneration"	40	88672	223935.54	101.0174756	9	0.057560724	0.007078355	14	23	183	0.026901749	0.038315513	27	"Economic and Social Development Body"	"Capital"	53.96825397
"181"	181	"LUPS ERDF"	"Priority 3: Urban Regeneration"	39.44361269	329848	836228.11	64.46551638	13	0.034650448	0.003675242	14	2	72	0.001418855	0.025868786	29	"Local Authority"	"Capital"	51.92629816
"182"	182	"LUPS ERDF"	"Priority 3: Urban Regeneration"	36.78825528	630256.36	1713077.77	0	14	0.042926694	0.007889219	14	3	111	0.01441027	0.03626876	24	"Local Authority"	"Revenue"	97.23593287
"183"	183	"LUPS ERDF"	"Priority 3: Urban Regeneration"	40.00000073	110074.77	271662.4	75.4351733	18	0.025726649	0.005896239	3	2	53	0.001673476	0.016273347	21	"Local Authority"	"Revenue"	103.6939314
"184"	184	"LUPS ERDF"	"Priority 3: Urban Regeneration"	26.74719118	684830.37	2559653.19	35.72666087	6	0.025165296	0.001657444	11	11	230	0.032295069	0.112963239	27	"Local Authority"	"Revenue"	95.37295572
"185"	185	"LUPS ERDF"	"Priority 4: Rural Development"	35.00000994	1232462	3625673.75	92.19886043	8	0.020456541	0.001840641	6	8	160	0.01456742	0.058300591	26	"Government Department/Agencies"	"Revenue"	92.63059701
"186"	186	"LUPS ERDF"	"Priority 4: Rural Development"	39.99960354	281893.77	627822.13	89.08546044	8	0.036059926	0.002983163	6	1	67	0.003201546	0.023042527	24	"Local Authority"	"Revenue"	52.76243094
"187"	187	"LUPS ERDF"	"Priority 4: Rural Development"	36.32999208	991379	2874216.76	58.87798834	6	0.027538888	0.001679941	6	8	160	0.01456742	0.058300591	26	"Government Department/Agencies"	"Revenue"	537.704918
"188"	188	"LUPS ERDF"	"Priority 4: Rural Development"	39.99993718	254694	503748.7	79.11421688	4	0.043617778	0.001743421	6	4	173	0.017601264	0.029707023	29	"Government Department/Agencies"	"Revenue"	72.55813953
"189"	189	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.99987997	468613	1110365	70.23950683	5	0.008421318	0.001118285	18	3	90	0.004761659	0.018406211	23	"Higher Education"	"Revenue"	216.8224299
"190"	190	"LUPS ERDF"	"Priority 1: Research and Innovation"	34.30078215	77008	224508	59.71031767	18	0.07242412	0.012132641	32	3	90	0.004761659	0.018406211	23	"Higher Education"	"Revenue"	201.1111111
"191"	191	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.73519597	256303.68	572935.19	89.76884977	26	0.012124961	0.012105432	11	3	33	0.000395301	0.001279148	25	"Higher Education"	"Revenue"	160.7843137
"192"	192	"LUPS ERDF"	"Priority 1: Research and Innovation"	38.37329951	558820	1456273	97.03188001	20	0.013365615	0.006631113	18	2	27	3.64e-05	0.00256054	19	"Further Education"	"Capital"	4.716981132
"193"	193	"LUPS ERDF"	"Priority 1: Research and Innovation"	27.65061826	1051000	3801000	90.8729487	3	0.012201611	3.95e-05	18	4	218	0.025747754	0.089400446	27	"Higher Education"	"Capital"	0
"194"	194	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.99999965	259830.16	577400.36	93.87896294	8	0.019027797	0.001301989	11	3	90	0.004761659	0.018406211	23	"Higher Education"	"Revenue"	113.559322
"195"	195	"LUPS ERDF"	"Priority 1: Research and Innovation"	45.09168192	249086	552399	68.98537832	10	0.060169701	0.002619103	32	1	81	0.005339156	0.029926115	25	"Higher Education"	"Revenue"	126.8292683
"196"	196	"LUPS ERDF"	"Priority 1: Research and Innovation"	37.28000955	574476	1540976	95.02687842	10	0.037753022	0.005024571	32	1	26	0.000605044	0.007531861	12	"Voluntary Sector"	"Capital"	13.33333333
"197"	197	"LUPS ERDF"	"Priority 1: Research and Innovation"	40.01101741	581785	1454062	66.93093761	8	0.009674522	0.002049801	13	7	109	0.006122982	0.0369968	23	"Higher Education"	"Revenue"	93.46590909
"198"	198	"LUPS ERDF"	"Priority 1: Research and Innovation"	42.4703366	469147.52	1133262.52	94.11998554	14	0.067228736	0.006023678	32	3	512	0.13883647	0.428663494	29	"Government Department/Agencies"	"Revenue"	40.74074074
"199"	199	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.99000111	207892.69	462086.43	100	8	0.004767958	0.001275629	10	7	109	0.006122982	0.0369968	23	"Higher Education"	"Revenue"	135.7142857
"200"	200	"LUPS ERDF"	"Priority 1: Research and Innovation"	39.76901333	249084.78	626328.79	90.01032189	16	0.064890579	0.006076514	32	7	109	0.006122982	0.0369968	23	"Higher Education"	"Revenue"	110.7361963
"201"	201	"LUPS ERDF"	"Priority 1: Research and Innovation"	45.00138466	780000	1733280	65.69460618	16	0.00770459	0.006385448	18	3	99	0.008432024	0.03263876	22	"Higher Education"	"Capital"	92.64705882
"202"	202	"LUPS ERDF"	"Priority 2: Enterprise Growth"	39.99999921	304613.59	699446.27	67.45740528	10	0.002542861	0.001886468	3	4	55	0.00413384	0.003606908	17	"Economic and Social Development Body"	"Revenue"	79.57746479
"203"	203	"LUPS ERDF"	"Priority 2: Enterprise Growth"	21.51257717	328907.38	1080038.03	70.64116794	2	0.014632835	0.000298186	10	4	173	0.017601264	0.029707023	29	"Government Department/Agencies"	"Revenue"	77.90055249
"204"	204	"LUPS ERDF"	"Priority 2: Enterprise Growth"	40.00000148	433271.56	981221.57	85.85446913	12	0.018643153	0.011660789	5	4	51	0.000995529	0.010173161	19	"Economic and Social Development Body"	"Revenue"	188.559322
"205"	205	"LUPS ERDF"	"Priority 2: Enterprise Growth"	40.00004788	125313.21	313282.41	100	14	0.017171319	0.008524524	6	4	51	0.000995529	0.010173161	19	"Economic and Social Development Body"	"Revenue"	105.4331865
"206"	206	"LUPS ERDF"	"Priority 2: Enterprise Growth"	39.99999843	254566.19	607672.68	88.10442706	7	0.00401463	0.001301363	5	2	64	0.002388885	0.009610946	21	"Higher Education"	"Revenue"	124.0917782
"207"	207	"LUPS ERDF"	"Priority 2: Enterprise Growth"	27.66644644	270374.08	640755.62	65.56631109	4	0.005316455	0.000230562	5	3	111	0.01441027	0.03626876	24	"Local Authority"	"Revenue"	49.3736952
"208"	208	"LUPS ERDF"	"Priority 2: Enterprise Growth"	35.00059748	471569	1119203.59	83.0690617	5	0.007590549	0.001660461	8	1	41	0.000554828	0.008896976	23	"Local Authority"	"Revenue"	199.3710692
"209"	209	"LUPS ERDF"	"Priority 3: Urban Regeneration"	31.45423907	1330607.26	4230295.5	100	8	0.002796442	0.00277031	3	1	7	1e-05	0.000238655	7	"Voluntary Sector"	"Capital"	85.84070796
"210"	210	"LUPS ERDF"	"Priority 3: Urban Regeneration"	29.86289515	1277336.52	4276383.34	59.44490779	9	0.004078723	0.001964489	2	5	72	0.006495672	0.007782477	22	"Further Education"	"Capital"	2.127659574
"211"	211	"LUPS ERDF"	"Priority 4: Rural Development"	39.99994917	785399.67	1946699.13	81.14648611	15	0.009995995	0.006225834	4	3	36	0.001481543	0.00498884	17	"Local Authority"	"Capital"	99.31929377
"212"	212	"LUPS ERDF"	"Priority 1: Research and Innovation"	40.00006763	354847	887116	70.40957327	5	0.015063607	0.000786377	18	4	218	0.025747754	0.089400446	27	"Higher Education"	"Revenue"	80.2919708
"213"	213	"LUPS ERDF"	"Priority 1: Research and Innovation"	34.66931474	185736	535736	0	4	0.034541886	0.000888111	32	5	186	0.017899887	0.073467128	26	"Higher Education"	"Capital"	70
"214"	214	"LUPS ERDF"	"Priority 1: Research and Innovation"	9.031791908	1500000	16608000	67.40009056	3	0.005191464	0.000591929	16	5	186	0.017899887	0.073467128	26	"Higher Education"	"Capital"	0
"215"	215	"LUPS ERDF"	"Priority 1: Research and Innovation"	31.52383118	758499	2453113	99.75070614	4	0.034541886	0.000888111	32	5	186	0.017899887	0.073467128	26	"Higher Education"	"Revenue"	38.88888889
"216"	216	"LUPS ERDF"	"Priority 3: Urban Regeneration"	39.7167089	854588	742964.68	28.08228018	6	0.003462748	0.001103191	0	4	50	0.00336271	0.009445309	23	"Local Authority"	"Revenue"	12.81853282
"217"	217	"LUPS ERDF"	"Priority 3: Urban Regeneration"	39.75123757	1655441.97	3174341.87	75.13077061	5	0.004011028	0.000724191	1	7	128	0.015131222	0.039589133	24	"Local Authority"	"Revenue"	114.295025
"218"	218	"LUPS ERDF"	"Priority 3: Urban Regeneration"	39.68862127	760398.99	1478972.54	50.24219878	2	0.002026813	0.000179447	1	4	125	0.011118241	0.029744722	27	"Local Authority"	"Revenue"	77.02265372
"219"	219	"LUPS ERDF"	"Priority 3: Urban Regeneration"	37.52966087	159255.99	424347	96.28024471	6	0.002658054	0.001435332	1	2	23	0.005438093	0.017804852	23	"Local Authority"	"Revenue"	55.25147929
"220"	220	"LUPS ERDF"	"Priority 3: Urban Regeneration"	39.55480297	3960327.56	10012254.54	91.86428216	7	0.005584844	0.0021973	5	4	104	0.00712184	0.020439319	32	"Local Authority"	"Revenue"	89.58282508
"221"	221	"LUPS ERDF"	"Priority 3: Urban Regeneration"	39.99998163	435577	718696.42	65.99945268	4	0.005818389	0.00020353	3	3	85	0.003419535	0.020475082	26	"Local Authority"	"Revenue"	93.91171994
"222"	222	"LUPS ERDF"	"Priority 3: Urban Regeneration"	35.0000029	603168	1066154.29	61.86568791	11	0.070142097	0.005227063	14	3	81	0.003279778	0.057782633	25	"Local Authority"	"Revenue"	65.6641604
"223"	223	"LUPS ERDF"	"Priority 3: Urban Regeneration"	34.99997821	642510	1559787.85	71.25714697	9	0.033299873	0.002885857	14	5	82	0.006388513	0.031137274	26	"Local Authority"	"Revenue"	57.07376058
"224"	224	"LUPS ERDF"	"Priority 1: Research and Innovation"	40.05107986	1185854	3210854	93.43252512	9	0.005981913	0.001189396	10	1	86	0.002637205	0.024458466	37	"Economic and Social Development Body"	"Revenue"	69.44444444
"225"	225	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.97116789	2923380	6500565	83.21209649	9	0.032423505	0.003621284	32	1	123	0.008530022	0.031692834	23	"Higher Education"	"Revenue"	164.7840532
"226"	226	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.59302179	2100000	4709257	85.95270549	11	0.005016035	0.003691105	11	3	99	0.008432024	0.03263876	22	"Higher Education"	"Capital"	146.2365591
"227"	227	"LUPS ERDF"	"Priority 1: Research and Innovation"	24.11773717	715119.8	2965119.8	95.5225482	10	0.047536887	0.004172253	32	7	128	0.015131222	0.039589133	24	"Local Authority"	"Capital"	0
"228"	228	"LUPS ERDF"	"Priority 1: Research and Innovation"	38.19034482	650923.73	1704419.62	78.37152391	5	0.005204154	0.001642845	10	7	109	0.006122982	0.0369968	23	"Higher Education"	"Revenue"	81.65289256
"229"	229	"LUPS ERDF"	"Priority 2: Enterprise Growth"	36.18711037	155741	305191.99	44.5706067	14	0.007136595	0.00492519	6	7	128	0.015131222	0.039589133	24	"Local Authority"	"Revenue"	174.1852487
"230"	230	"LUPS ERDF"	"Priority 3: Urban Regeneration"	34.05108346	1349566	3724109.73	93.96351956	5	0.001379798	0.001650924	5	2	24	0.002145284	0.019785921	13	"Economic and Social Development Body"	"Capital"	0.235710077
"231"	231	"LUPS ERDF"	"Priority 3: Urban Regeneration"	40.00001281	624637	1592151.04	97.455158	3	0.005917114	0.000558227	7	2	24	0.002145284	0.019785921	13	"Economic and Social Development Body"	"Capital"	100.2581756
"232"	232	"LUPS ERDF"	"Priority 3: Urban Regeneration"	39.89192201	644454	1618410	100	2	0.004587977	0.00052082	7	10	124	0.012833128	0.068285551	26	"Local Authority"	"Capital"	98.91304348
"233"	233	"LUPS ERDF"	"Priority 3: Urban Regeneration"	18.65219257	5e+05	2680650	113.4426076	12	0.004343685	0.004658478	3	1	11	1e-05	0.000370724	11	"Voluntary Sector"	"Capital"	94.09913454
"234"	234	"LUPS ERDF"	"Priority 4: Rural Development"	39.55126892	235546	594965.83	99.90258183	13	0.0070834	0.005661862	5	10	124	0.012833128	0.068285551	26	"Local Authority"	"Capital"	78.35616438
"235"	235	"LUPS ERDF"	"Priority 4: Rural Development"	39.99991781	194670	13745	1.813321388	5	0.016761955	0.000772211	5	10	124	0.012833128	0.068285551	26	"Local Authority"	"Capital"	0
"236"	236	"LUPS ERDF"	"Priority 1: Research and Innovation"	37.28999857	5304000	14223653	0	4	0.011882083	0.000370272	18	5	186	0.017899887	0.073467128	26	"Higher Education"	"Capital"	57.47613998
"237"	237	"LUPS ERDF"	"Priority 1: Research and Innovation"	44.99990715	411944	915433	90.99229763	7	0.002059741	0.000378988	7	1	63	0.0025183	0.01443691	20	"Higher Education"	"Revenue"	97.01492537
"238"	238	"LUPS ERDF"	"Priority 1: Research and Innovation"	34.99995469	270368	772481	64.79776331	20	0.011885629	0.006977466	11	3	53	0.002638535	0.014735901	21	"Higher Education"	"Revenue"	31.12033195
"240"	239	"LUPS ERDF"	"Priority 2: Enterprise Growth"	39.99996233	872867.43	2182170.63	100	3	0.000496596	0.000525215	2	1	13	0.000378557	0.003169805	7	"Economic and Social Development Body"	"Revenue"	45.45040946
"241"	240	"LUPS ERDF"	"Priority 2: Enterprise Growth"	39.78035798	649360.39	1284636.43	78.69789697	21	0.04263957	0.005196394	18	3	81	0.003279778	0.057782633	25	"Local Authority"	"Revenue"	85.94838181
"242"	241	"LUPS ERDF"	"Priority 3: Urban Regeneration"	39.29388735	860824	0	0	6	0.001856553	0.001113764	1	7	128	0.015131222	0.039589133	24	"Local Authority"	"Capital"	0
"243"	242	"LUPS ERDF"	"Priority 4: Rural Development"	39.9656432	465999	0	0	6	0.013061859	0.002011564	4	1	5	1e-05	0.001114901	5	"Voluntary Sector"	"Capital"	0
"244"	243	"LUPS ERDF"	"Priority 4: Rural Development"	40	226680	566700	27.03171696	3	0.006337791	0.000110456	5	10	124	0.012833128	0.068285551	26	"Local Authority"	"Capital"	0
"245"	244	"LUPS ERDF"	"Priority 4: Rural Development"	39.99555077	199563	422714.85	0	6	0.050603674	0.002295406	6	10	124	0.012833128	0.068285551	26	"Local Authority"	"Capital"	0
"246"	245	"LUPS ESF"	"Priority 1: Progressing into Employment"	41.0358661	291836	711080	0	9	0.025000533	0.003949114	24	3	62	0.004292727	0.010414978	26	"Further Education"	"Capital"	170.6233422
"247"	246	"LUPS ESF"	"Priority 1: Progressing into Employment"	33.3897384	75574	216737.01	0	28	0.046413456	0.015751639	24	1	228	0.015040044	0.041136944	36	"Voluntary Sector"	"Capital"	190.1960784
"248"	247	"LUPS ESF"	"Priority 1: Progressing into Employment"	41.20978995	89778	215800	0	20	0.011140697	0.008114588	11	1	43	0.000286928	0.008776547	19	"Voluntary Sector"	"Capital"	60.15748031
"249"	248	"LUPS ESF"	"Priority 1: Progressing into Employment"	35.42215261	61744	160013	0	8	0.009574093	0.002265162	18	23	183	0.026901749	0.038315513	27	"Economic and Social Development Body"	"Capital"	108.5534591
